date:,month,week,day,order,fluid_oz,cups,cost,location,type of location,reasoning,where,dairy,sweetner,happiness
10/14/2023,10,1,14,vanilla sweet cream cold brew,24,2,5.05,starbucks,national chain,needed energy,cafe,1,1,4
10/16/2023,10,1,16,pumkin spice latte,16,1.333333333,5.95,starbucks,national chain,needed energy,cafe,1,1,3.5
10/17/2023,10,1,17,mocha,12,1,6.25,grit,national chain,wanted coffee,cafe,1,1,4
10/19/2023,10,1,19,vanilla sweet cream cold brew,24,2,5.05,starbucks,national chain,wanted coffee,cafe,1,1,3
10/20/2023,10,1,20,vanilla sweet cream cold brew,24,2,5.05,starbucks,national chain,lunch,cafe,1,1,2
10/21/2023,10,2,21,peppermint mocha,12,1,6.25,green berry's,national chain,needed energy,on the go,1,1,4.5
10/21/2023,10,2,21,brown sugar shaken espresso,24,2,6.25,starbucks,national chain,wanted coffee,on the go,1,1,4
10/22/2023,10,2,22,peppermint mocha,16,1.333333333,6.75,green berry's,national chain,lunch,cafe,1,1,2.5
10/25/2023,10,2,25,vanilla sweet cream cold brew,16,1.333333333,4.75,green berry's,national chain,lunch,cafe,1,1,4
10/26/2023,10,2,26,espresso with creamer,16,1.333333333,0,home,home,breakfast,class,1,1,2
10/26/2023,10,2,26,vanilla sweet cream cold brew,16,1.333333333,4.75,starbucks,national chain,wanted coffee,class,1,1,3.5
10/29/2023,10,3,29,vanilla sweet cream cold brew,24,2,5.05,starbucks,national chain,wanted coffee,on the go,1,1,2.5
11/01/2023,11,3,1,vanilla sweet cream cold brew,24,2,5.05,starbucks,national chain,lunch,home,1,1,2.5
11/04/2023,11,3,4,mocha,12,1,7.5,chataue de chantilly,local cafe,breakfast,class,1,1,5
11/05/2023,11,4,5,vanilla sweet cream cold brew,24,2,5.05,starbucks,national chain,wanted coffee,on the go,1,1,3
11/06/2023,11,4,6,brown sugar shaken espresso,24,2,6.25,starbucks,national chain,needed energy,on the go,1,1,3
11/07/2023,11,4,7,vanilla sweet cream cold brew,24,2,5.05,green berry's,national chain,needed energy,class,1,1,4
11/09/2023,11,4,9,vanilla sweet cream cold brew,16,1.333333333,4.75,starbucks,national chain,needed energy,home,1,1,4.5
11/10/2023,11,4,10,cold brew with creamer,24,2,0,home,home,needed energy,home,1,1,4
11/11/2023,11,5,11,cold brew with creamer,16,1.333333333,0,home,home,lunch,on the go,1,1,2
11/11/2023,11,5,11,mocha,16,1.333333333,6.25,grit,national chain,needed energy,cafe,1,1,4
11/15/2023,11,5,15,cold brew with creamer,12,1,0,home,home,wanted coffee,class,1,1,3.5
11/15/2023,11,5,15,vanilla sweet cream cold brew,16,1.333333333,4.75,starbucks,national chain,needed energy,on the go,1,1,4
11/16/2023,11,5,16,latte,12,1,5.95,oakhurst inn,local cafe,breakfast,cafe,1,0,5
11/17/2023,11,5,17,brown sugar shaken espresso,16,1.333333333,5.75,starbucks,national chain,needed energy,cafe,1,1,4
11/18/2023,11,6,18,vanilla sweet cream cold brew,12,1,4.25,starbucks,national chain,needed energy,cafe,1,1,3
11/18/2023,11,6,18,vanilla sweet cream cold brew,24,2,5.05,starbucks,national chain,needed energy,cafe,1,1,3.5
11/19/2023,11,6,19,brown sugar shaken espresso,16,1.333333333,5.75,starbucks,national chain,needed energy,cafe,1,1,4
11/19/2023,11,6,19,peppermint mocha,16,1.333333333,5.95,green berry's,national chain,wanted coffee,cafe,1,1,5
11/20/2023,11,6,20,peppermint mocha,16,1.333333333,5.95,starbucks,national chain,needed energy,cafe,1,1,5
11/22/2023,11,6,22,vanilla sweet cream cold brew,24,2,5.05,starbucks,national chain,lunch,cafe,1,1,5
11/23/2023,11,6,23,cold brew with creamer,16,1.333333333,0,home,home,breakfast,on the go,1,1,3.5
11/25/2023,11,7,25,cold brew with creamer,24,2,0,home,home,breakfast,home,1,1,3.5
11/25/2023,11,7,25,affogato,12,1,7.7,bon tea house,local cafe,wanted coffee,cafe,1,1,5
11/26/2023,11,7,26,cold brew with creamer,24,2,0,home,home,needed energy,cafe,1,1,
